age,gender,marital,education,category,frequency,amount
3,0,3,2,3,2,165.76999999999998
3,0,3,2,5,1,59.0
3,0,3,2,16,1,50.0
3,0,3,2,18,1,11.9
3,0,3,2,20,1,78.21
3,0,3,2,3,1,169.0
3,0,3,2,5,2,141.395
3,0,3,2,6,2,222.49
3,0,3,2,7,1,94.8
3,0,3,2,3,4,356.59000000000003
3,0,3,2,19,1,178.0
3,0,3,2,20,1,225.0
3,0,3,2,3,1,229.9
3,0,3,2,19,1,420.0
3,0,3,2,20,1,86.0
3,0,3,2,16,1,89.0
3,0,3,2,3,2,194.945
3,0,3,2,5,1,106.8
3,0,3,2,6,2,89.995
3,0,3,2,7,1,158.23
3,0,3,2,16,1,131.96
3,0,3,2,19,1,20.0
3,0,3,2,3,1,59.8
3,0,3,2,5,3,179.34666666666666
3,0,3,2,6,1,230.98
3,0,3,2,18,1,43.45
3,0,3,2,19,3,502.3333333333333
3,0,3,2,5,1,101.29
3,0,3,2,3,1,199.9
3,0,3,2,5,2,186.86
3,0,3,2,17,1,129.99
3,0,3,2,3,2,293.36
3,0,3,2,5,1,105.2
3,0,3,2,19,1,170.0
3,0,3,2,16,4,154.2025
3,0,3,2,19,1,145.0
3,0,3,2,3,2,213.29999999999998
3,0,3,2,5,2,173.17000000000002
3,0,3,2,5,1,151.99
0,0,3,1,19,1,422.26
0,0,3,1,5,4,41.95
0,0,3,1,18,7,18.895714285714284
0,0,3,1,19,1,180.0
0,0,3,1,20,1,12.0
0,0,3,1,3,1,30.0
0,0,3,1,19,3,209.91666666666666
0,0,3,1,20,1,13.0
0,0,3,1,18,6,15.358333333333334
0,0,3,1,19,9,25.114444444444448
0,0,3,1,18,4,63.215
0,0,3,1,19,9,26.942222222222224
0,0,3,1,18,1,20.0
0,0,3,1,19,5,87.73800000000001
0,0,3,1,18,3,16.433333333333334
0,0,3,1,19,7,57.95428571428572
0,0,3,1,20,4,10.25
0,0,3,1,3,1,109.8
0,0,3,1,8,1,9.99
0,0,3,1,18,5,22.248
0,0,3,1,19,4,14.107500000000002
0,0,3,1,20,1,3.5
0,0,3,1,19,8,27.43875
0,0,3,1,18,1,18.5
0,0,3,1,19,13,59.994615384615386
0,0,3,1,18,2,4.0
0,0,3,1,19,3,158.49333333333334
0,0,3,1,18,13,36.88076923076923
2,0,1,1,5,1,385.0
2,0,1,1,16,1,92.6
2,0,1,1,19,15,34.02333333333333
2,0,1,1,3,2,157.965
2,0,1,1,5,2,38.555
2,0,1,1,7,1,78.36
2,0,1,1,9,0,0.0
2,0,1,1,11,1,20.0
2,0,1,1,18,4,33.55
2,0,1,1,19,24,29.310416666666658
2,0,1,1,20,2,27.92
2,0,1,1,3,2,234.945
2,0,1,1,5,1,215.0
2,0,1,1,6,1,365.95
2,0,1,1,16,1,84.92
2,0,1,1,19,22,25.397727272727273
2,0,1,1,20,1,217.78
2,0,1,1,3,3,119.89666666666669
2,0,1,1,5,1,23.5
2,0,1,1,11,1,37.96
2,0,1,1,18,3,8.166666666666666
2,0,1,1,19,10,32.608999999999995
2,0,1,1,20,6,57.23333333333333
2,0,1,1,5,5,46.028000000000006
2,0,1,1,11,1,12.3
2,0,1,1,18,2,36.5
2,0,1,1,19,14,22.724999999999998
2,0,1,1,20,3,35.89666666666667
2,0,1,1,5,1,149.97
2,0,1,1,6,1,577.0
2,0,1,1,9,0,0.0
2,0,1,1,10,1,366.27
2,0,1,1,11,1,67.75
2,0,1,1,16,2,88.85
2,0,1,1,19,9,36.86333333333333
2,0,1,1,3,2,274.79
2,0,1,1,5,2,170.0
2,0,1,1,6,4,152.655
2,0,1,1,12,1,300.0
2,0,1,1,19,22,39.35409090909091
2,0,1,1,20,1,42.0
2,0,1,1,3,2,236.995
2,0,1,1,5,2,85.72
2,0,1,1,11,1,47.0
2,0,1,1,14,1,170.72
2,0,1,1,18,5,34.34
2,0,1,1,19,12,26.272500000000008
2,0,1,1,20,3,31.873333333333335
2,0,1,1,3,2,124.83000000000001
2,0,1,1,6,1,151.79
2,0,1,1,7,1,26.47
2,0,1,1,8,1,110.0
2,0,1,1,12,1,128.0
2,0,1,1,18,6,48.76666666666667
2,0,1,1,19,7,37.18142857142857
2,0,1,1,20,1,54.4
2,0,1,1,3,1,179.99
2,0,1,1,16,1,135.0
2,0,1,1,19,4,19.41
2,0,1,1,3,2,221.85
2,0,1,1,5,2,49.0
2,0,1,1,16,1,62.21
2,0,1,1,19,3,33.583333333333336
2,0,1,1,3,3,93.23333333333333
2,0,1,1,7,2,72.955
2,0,1,1,8,1,149.0
2,0,1,1,17,1,139.9
2,0,1,1,18,2,31.66
2,0,1,1,19,2,20.595
2,0,1,1,20,1,11.5
2,0,1,1,5,3,59.32666666666666
2,0,1,1,11,1,50.0
2,0,1,1,18,2,70.25
2,0,1,1,20,2,191.68
2,1,3,2,5,1,162.06
2,1,3,2,7,2,100.82000000000001
2,1,3,2,19,5,45.74999999999999
2,1,3,2,20,2,28.299999999999997
2,1,3,2,0,2,629.77
2,1,3,2,3,3,211.63
2,1,3,2,5,6,178.66
2,1,3,2,6,3,45.379999999999995
2,1,3,2,7,5,77.61799999999998
2,1,3,2,11,2,129.055
2,1,3,2,12,1,820.4
2,1,3,2,16,3,1954.6499999999999
2,1,3,2,18,1,7.7
2,1,3,2,19,15,27.926
2,1,3,2,20,6,86.09499999999998
2,1,3,2,3,4,63.975
2,1,3,2,5,5,65.878
2,1,3,2,6,2,47.545
2,1,3,2,7,1,30.35
2,1,3,2,11,3,63.32666666666666
2,1,3,2,16,2,49.98
2,1,3,2,18,4,92.30499999999999
2,1,3,2,19,9,43.23111111111111
2,1,3,2,20,5,84.506
2,1,3,2,3,1,198.0
2,1,3,2,5,11,41.63727272727272
2,1,3,2,6,1,7.0
2,1,3,2,7,4,140.1675
2,1,3,2,11,2,128.5
2,1,3,2,12,1,200.0
2,1,3,2,16,2,24.27
2,1,3,2,18,9,82.60222222222222
2,1,3,2,19,7,38.738571428571426
2,1,3,2,20,7,13.458571428571428
2,1,3,2,3,1,109.8
2,1,3,2,4,1,32.9
2,1,3,2,5,3,60.72666666666667
2,1,3,2,7,5,182.148
2,1,3,2,11,1,171.0
2,1,3,2,18,5,35.44799999999999
2,1,3,2,19,8,44.775
2,1,3,2,20,3,20.106666666666666
2,1,3,2,7,2,231.275
2,1,3,2,19,1,20.8
2,1,3,2,20,1,47.84
3,0,3,2,5,2,70.675
3,0,3,2,12,1,1400.0
3,0,3,2,19,2,66.7
3,0,3,2,6,1,85.51
3,0,3,2,16,1,27.0
3,0,3,2,19,7,303.0614285714286
3,0,3,2,5,2,14.899999999999999
3,0,3,2,8,2,76.945
3,0,3,2,16,2,43.595
3,0,3,2,19,4,52.8225
3,0,3,2,8,3,55.07
3,0,3,2,10,1,78.49
3,0,3,2,16,1,15.76
3,0,3,2,19,2,30.03
3,0,3,2,5,3,31.72666666666667
3,0,3,2,6,2,29.64
3,0,3,2,8,2,72.49
3,0,3,2,16,1,16.9
